,brand,name,image_url,rating_star,ratings,reviews,processor_brand,processor,generation,ram,ram_type,operating_system,rom,display,warranty,actual_price,discount_price,discount
73,ASUS,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/n/3/-original-imah2y2teghzh7xe.jpeg?q=70,4.2,2511,245,AMD,AMD Ryzen 3 Quad Core Processor,,8,LPDDR5,Windows 11 Home Operating System,512,,1,43990,30990,29
74,Acer,Acer Professional AMD Ryzen 3 Quad Core 7th Gen 7330U With Turbo Boost - (16 GB/512 GB SSD/Windows 11 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/a/i/travel-lite-tl14-notebook-acer-original-imahbqw5gxdg6mwb.jpeg?q=70,4.0,13,6,AMD,AMD Ryzen 3 Quad Core Processor (7th Gen),7,16,DDR4,Windows 11 Operating System,512,,1,43999,31990,27
75,Lenovo,Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/6/b/-original-imahcd9hbzy6ztqh.jpeg?q=70,4.2,475,32,AMD,AMD Ryzen 7 Octa Core Processor,,16,DDR4,Windows 11 Operating System,512,39.62,1,71290,43490,38
76,Acer,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/a/-original-imahcd9hd8sfkypj.jpeg?q=70,4.2,3614,279,Intel,Intel Core i3 Processor (12th Gen),12,8,DDR4,Windows 11 Operating System,512,35.56,1,43000,24990,41
77,Samsung,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,9456,820,Intel,Intel Core i5 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,78189,48990,37
78,Thomson,Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/w/o/-original-imahcd9jzptaemqy.jpeg?q=70,3.7,138,30,Intel,Intel Core i3 Processor (12th Gen),12,8,LPDDR4,Windows 11 Operating System,512,39.62,1,,44990,
79,HP,HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/3/2/-original-imahcd9khtmt87hu.jpeg?q=70,4.2,2629,212,AMD,AMD Ryzen 3 Quad Core Processor,,8,DDR4,Windows 11 Operating System,512,39.62,1,45995,30990,32
80,ASUS,ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/j/z/-original-imahcd9nqjz6d3dp.jpeg?q=70,4.2,650,53,Intel,Intel Core i3 Processor (13th Gen),13,16,DDR4,Windows 11 Home Operating System,512,,1,56990,35990,36
81,Samsung,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,4960,529,Intel,Intel Core i3 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,57499,34990,39
82,DELL,DELL 15 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/c/4/-original-imahcn9h5zkushk5.jpeg?q=70,4.3,230,11,Intel,Intel Core i5 Processor (13th Gen),13,8,DDR4,Windows 11 Operating System,512,,1,63416,44990,29
83,ASUS,"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (1...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/g/a/-original-imahcd9n4hu9gkes.jpeg?q=70,4.1,77,8,Qualcomm,Qualcomm Snapdragon X Processor,,16,LPDDR5X,Windows 11 Home Operating System,512,,1,84990,57299,32
